NOC Cycling Road,NumAthletes Cycling Road,NOC Artistic Gymnastics,NumAthletes Artistic Gymnastics,NOC Rowing,NumAthletes Rowing,NOC Basketball,NumAthletes Basketball,NOC Handball,NumAthletes Handball,NOC Swimming,NumAthletes Swimming,NOC Karate,NumAthletes Karate,NOC Wrestling,NumAthletes Wrestling,NOC Rhythmic Gymnastics,NumAthletes Rhythmic Gymnastics,NOC Baseball/Softball,NumAthletes Baseball/Softball,NOC Athletics,NumAthletes Athletics,NOC Artistic Swimming,NumAthletes Artistic Swimming,NOC Judo,NumAthletes Judo,NOC Shooting,NumAthletes Shooting,NOC Table Tennis,NumAthletes Table Tennis,NOC Football,NumAthletes Football,NOC Taekwondo,NumAthletes Taekwondo,NOC Fencing,NumAthletes Fencing,NOC Badminton,NumAthletes Badminton,NOC Boxing,NumAthletes Boxing,NOC Weightlifting,NumAthletes Weightlifting,NOC Archery,NumAthletes Archery,NOC Diving,NumAthletes Diving,NOC Beach Volleyball,NumAthletes Beach Volleyball,NOC Sailing,NumAthletes Sailing,NOC Hockey,NumAthletes Hockey,NOC Trampoline Gymnastics,NumAthletes Trampoline Gymnastics,NOC Marathon Swimming,NumAthletes Marathon Swimming,NOC Triathlon,NumAthletes Triathlon,NOC Canoe Slalom,NumAthletes Canoe Slalom,NOC Water Polo,NumAthletes Water Polo,NOC Surfing,NumAthletes Surfing,NOC Canoe Sprint,NumAthletes Canoe Sprint,NOC Cycling BMX Racing,NumAthletes Cycling BMX Racing,NOC Rugby Sevens,NumAthletes Rugby Sevens,NOC Volleyball,NumAthletes Volleyball,NOC Equestrian,NumAthletes Equestrian,NOC Tennis,NumAthletes Tennis,NOC Cycling Track,NumAthletes Cycling Track,NOC Golf,NumAthletes Golf,NOC Skateboarding,NumAthletes Skateboarding,NOC Modern Pentathlon,NumAthletes Modern Pentathlon,NOC Cycling Mountain Bike,NumAthletes Cycling Mountain Bike,NOC 3x3 Basketball,NumAthletes 3x3 Basketball,NOC Cycling BMX Freestyle,NumAthletes Cycling BMX Freestyle,NOC Sport Climbing,NumAthletes Sport Climbing
Italy,9,People's Republic of China,12,Great Britain,39,Spain,24.0,Norway,30.0,United States of America,39,Japan,8,ROC,16,Italy,7,United States of America,38.0,United States of America,144,Japan,8,Republic of Korea,14,People's Republic of China,24,United States of America,6,Australia,43,Republic of Korea,6,United States of America,24,People's Republic of China,14,Uzbekistan,11,United States of America,8,Republic of Korea,6,Mexico,13,United States of America,8,Japan,15,Argentina,35.0,Japan,4.0,Germany,4,United States of America,5,Switzerland,4,Spain,26.0,United States of America,4.0,Hungary,17,France,5,Japan,32.0,Argentina,23.0,Japan,12,Japan,10,Germany,18,United States of America,8,Brazil,12,People's Republic of China,4,Switzerland,6,Japan,8.0,United States of America,4.0,France,4.0
Netherlands,9,ROC,12,Australia,37,Japan,23.0,Spain,29.0,Australia,30,Turkey,5,United States of America,14,Israel,7,Japan,37.0,Germany,95,Greece,8,ROC,13,United States of America,19,Chinese Taipei,6,Japan,42,Turkey,5,Italy,23,Japan,11,ROC,11,Republic of Korea,7,United States of America,6,Japan,11,Brazil,7,Great Britain,14,Australia,35.0,People's Republic of China,4.0,United States of America,3,Spain,5,Spain,4,Australia,25.0,Brazil,4.0,Germany,15,Netherlands,5,United States of America,24.0,Brazil,23.0,France,11,United States of America,10,Australia,16,Republic of Korea,5,United States of America,11,Egypt,4,United States of America,4,People's Republic of China,8.0,Australia,2.0,Japan,4.0
Australia,8,Japan,11,United States of America,36,France,23.0,Japan,28.0,Italy,29,Kazakhstan,5,Cuba,12,Belarus,7,Mexico,37.0,Great Britain,75,Ukraine,8,Japan,13,ROC,17,Japan,6,Brazil,41,Great Britain,5,ROC,21,Indonesia,10,Great Britain,10,Chinese Taipei,7,People's Republic of China,6,Great Britain,11,ROC,6,France,14,India,35.0,ROC,4.0,Italy,3,Australia,5,Canada,4,Hungary,25.0,France,4.0,People's Republic of China,14,United States of America,4,Australia,23.0,United States of America,22.0,Sweden,11,Australia,10,New Zealand,16,Mexico,4,Japan,10,France,4,Netherlands,4,ROC,8.0,Germany,2.0,United States of America,3.0
Belgium,8,United States of America,11,Romania,34,Nigeria,23.0,France,28.0,ROC,28,Italy,5,People's Republic of China,11,United States of America,7,Israel,22.0,Italy,73,Spain,8,France,13,Republic of Korea,15,Republic of Korea,6,New Zealand,39,People's Republic of China,5,Japan,19,Republic of Korea,10,Algeria,8,Japan,7,Japan,6,United States of America,10,Germany,6,United States of America,13,South Africa,35.0,Australia,2.0,France,3,Great Britain,5,Slovenia,4,United States of America,25.0,Peru,4.0,ROC,14,Switzerland,3,Canada,23.0,Italy,22.0,Great Britain,11,France,9,Great Britain,15,Ireland,4,France,5,Germany,4,France,4,Belgium,4.0,Great Britain,2.0,Italy,3.0
United States of America,7,Spain,9,Netherlands,34,Australia,23.0,Sweden,28.0,Great Britain,27,United States of America,4,Japan,11,Bulgaria,7,Republic of Korea,22.0,Japan,70,Egypt,8,Israel,12,Australia,14,"Hong Kong, China",6,Canada,22,Uzbekistan,4,Republic of Korea,18,Malaysia,8,United States of America,8,People's Republic of China,7,Chinese Taipei,6,Canada,9,Italy,6,Brazil,13,Spain,35.0,Belarus,2.0,Japan,2,France,5,Slovakia,4,Japan,23.0,Australia,4.0,Canada,14,Australia,3,Great Britain,23.0,Japan,22.0,Germany,11,Germany,9,Canada,14,Australia,4,Australia,5,Great Britain,4,Germany,4,Italy,4.0,Japan,2.0,People's Republic of China,2.0
Germany,7,Great Britain,8,Canada,28,United States of America,23.0,Brazil,28.0,People's Republic of China,25,Egypt,4,Islamic Republic of Iran,11,Ukraine,7,Dominican Republic,21.0,France,66,People's Republic of China,8,Mongolia,12,Italy,14,Germany,6,Mexico,21,ROC,4,France,17,Canada,8,Kazakhstan,8,Australia,5,Great Britain,5,People's Republic of China,8,Netherlands,6,Spain,13,Great Britain,34.0,Canada,2.0,Hungary,2,Italy,5,Czech Republic,4,South Africa,22.0,Japan,3.0,Australia,13,ROC,3,New Zealand,23.0,ROC,22.0,United States of America,11,ROC,8,France,12,Great Britain,4,Spain,4,Mexico,4,Italy,4,Mongolia,4.0,ROC,2.0,South Africa,2.0
Denmark,6,Germany,8,People's Republic of China,26,Germany,12.0,Denmark,15.0,Japan,25,Germany,4,Kazakhstan,10,ROC,7,Australia,15.0,Australia,65,Italy,8,Brazil,11,India,13,France,6,Great Britain,21,Egypt,4,People's Republic of China,15,Denmark,8,Cuba,7,Indonesia,5,Germany,4,Australia,7,Switzerland,5,Australia,12,Germany,33.0,Egypt,2.0,Netherlands,2,Canada,4,Germany,4,Canada,13.0,Costa Rica,2.0,Belarus,12,Brazil,2,Fiji,22.0,Turkey,12.0,Australia,10,Spain,7,Italy,10,Germany,4,Canada,4,Japan,3,Brazil,3,Netherlands,4.0,Chile,1.0,Slovenia,2.0
Norway,6,France,7,New Zealand,25,Islamic Republic of Iran,12.0,Germany,15.0,Germany,24,Venezuela,3,Ukraine,9,Japan,7,Canada,14.0,Poland,64,ROC,7,Germany,11,Japan,12,People's Republic of China,6,Saudi Arabia,21,Chinese Taipei,4,Hungary,12,Thailand,7,India,7,Tunisia,5,Netherlands,4,Germany,7,Australia,4,Argentina,11,Netherlands,33.0,France,2.0,South Africa,2,South Africa,4,Poland,4,Montenegro,13.0,Portugal,2.0,Spain,11,Canada,2,Kenya,21.0,Serbia,12.0,Netherlands,10,Kazakhstan,7,ROC,9,France,4,Italy,3,Belarus,3,Canada,3,Poland,4.0,Costa Rica,1.0,Republic of Korea,2.0
Canada,6,Netherlands,6,Germany,23,Czech Republic,12.0,Argentina,15.0,Canada,20,Islamic Republic of Iran,3,Turkey,9,Azerbaijan,6,Italy,14.0,Spain,58,Australia,7,Netherlands,10,Egypt,10,Australia,6,Zambia,21,Japan,4,Egypt,12,Great Britain,7,Brazil,7,Canada,5,India,4,Italy,6,Spain,4,People's Republic of China,10,Japan,32.0,Great Britain,2.0,Spain,2,ROC,4,Japan,3,Netherlands,13.0,New Zealand,2.0,Ukraine,10,Colombia,2,Argentina,12.0,Republic of Korea,12.0,Belgium,10,Argentina,7,Poland,9,Finland,4,South Africa,3,Republic of Korea,3,Denmark,3,Romania,4.0,France,1.0,ROC,2.0
Spain,6,Republic of Korea,6,Italy,23,Canada,12.0,Montenegro,15.0,Hungary,20,Azerbaijan,3,Tunisia,9,Australia,6,,,Canada,56,Canada,6,Azerbaijan,9,France,10,Brazil,6,France,21,Australia,4,Canada,11,Chinese Taipei,5,Dominican Republic,7,New Zealand,5,Indonesia,4,ROC,6,Poland,4,New Zealand,10,New Zealand,30.0,United States of America,2.0,ROC,2,Japan,4,Australia,3,Serbia,13.0,South Africa,1.0,Poland,8,Great Britain,2,Brazil,12.0,People's Republic of China,12.0,Ireland,9,Italy,6,Netherlands,9,Denmark,4,Belgium,2,ROC,3,Spain,3,Serbia,4.0,Switzerland,1.0,Australia,2.0
